collab_name,members
チーム,"郡道美玲, 加賀美ハヤト, フミ, 奈羅花"
チームジャス,"花畑チャイカ, 加賀美ハヤト, オリバー・エバンス"
チーム10,"文野環, 魔界ノりりむ, 椎名唯華"
チーム女子会,"静凛, 渋谷ハジメ, 葉山舞鈴, 相羽ういは"
チームゼウス(2023年),"桜凛月, 天宮こころ, ルイス・キャミー"
チーム旋律のブルー,"ベルモンド・バンデラス, 加賀美ハヤト, 長尾景"
チーム他責,"本間ひまわり, 椎名唯華, 星導ショウ, 小柳ロウ"
チームたにん,"魔界ノりりむ, 花畑チャイカ, 社築, リゼ・ヘルエスタ"
チームチャイコフスキー,"花畑チャイカ, グウェル・オス・ガール, オリバー・エバンス"
チームテキーラ/にじさんじテキーラ組,"ジョー・力一, 三枝明那, 不破湊, レオス・ヴィンセント"
チームNARAKA,"葛葉, 不破湊, 奈羅花"
チーム20代,"鈴鹿詩子, 伏見ガク"
チームノンジャス,"ベルモンド・バンデラス, グウェル・オス・ガール, 長尾景"
チームハッピーバースデー,"花畑チャイカ, ベルモンド・バンデラス, グウェル・オス・ガール"
チームバッドバースデー,"加賀美ハヤト, 長尾景, オリバー・エバンス"
チーム花園,"不破湊, 西園チグサ, 先斗寧, Reimu Endou"
チーム秘密基地,"葛葉, ラトナ・プティ, 不破湊"
チームベビパ,"月ノ美兎, える, 夜見れな, 星川サラ, グウェル・オス・ガール, 長尾景"
チーム名が決まらねェ！,"社築, 桜凛月, 小野町春香, 愛園愛美, フレン・E・ルスタリオ, オリバー・エバンス"
Team VAC,"Aster Arcadia, Vezalius Bandage, Claude Clawmark"
Team USA,"宇佐美リト, Finana Ryugu, Shu Yamino, Claude Clawmark"
Team Evil,"Ren Zotto, Doppio Dropscythe, Zeal Ginjoka, Freodore"
ちぇみすとりー,"叶, 天宮こころ, セラフ・ダズルガーデン, ヤン・ナリ, ハ・ユン"
ちぇりーぺぇ,"アンジュ・カトリーナ, ニュイ・ソシエール"
ちぐさんご,"周央サンゴ, 西園チグサ"
ちぐすぴ,"北小路ヒスイ, 西園チグサ"
ちぐにゃら,"奈羅花, 西園チグサ"
チグパタ,"西園チグサ, レイン・パターソン"
チグハック,"東堂コハク, 西園チグサ"
チグはぴ,"西園チグサ, 海妹四葉"
ちぐひば,"西園チグサ, 渡会雲雀"
チグぽん,"西園チグサ, 先斗寧"
ちちげやまいもと,"舞元啓介, アンジュ・カトリーナ, 葉山舞鈴, ニュイ・ソシエール"
ちちげやまいもとりきいち,"舞元啓介, ジョー・力一, アンジュ・カトリーナ, 葉山舞鈴, ニュイ・ソシエール"
ちとでびる,"でびでび・でびる, 久遠千歳"
ちとろあ,"久遠千歳, 夢月ロア"
ちまきえる,"勇気ちひろ, える"
血祭りブラザーズ,"葛葉, イブラヒム"
血みどろコラボ,"宇志海いちご, 伏見ガク, 闇夜乃モルル, 本間ひまわり, 葛葉"
チャイかざ明治,"森中花咲, 花畑チャイカ, 童田明治"
チャインボ,"花畑チャイカ, 桜凛月"
ちゃおにぱ,"雲母たまこ, 渚トラウト"
ちゃりーん,"樋口楓, 花畑チャイカ, 夜見れな, 魔使マオ"
ちゃるーん,"樋口楓, 花畑チャイカ, 夜見れな"
チャンピオン頂けましたら全チームに焼肉おごります,"神田笑一, 瀬戸美夜子, グウェル・オス・ガール"
973,"清良, 千春"
チューリップ組,"早瀬走, 健屋花那, シェリン・バーガンディ"
チューリングあれる,"椎名唯華, 三枝明那"
ちゅりゅーん,"樋口楓, 夜見れな, 魔使マオ"
ちょい盛り飯屋ハル,"黛灰, 不破湊"
長黒長夢長町長,"町田ちま, 夢追翔, 黒井しば, 長尾景"
Chopcon,"Claude Clawmark, Ryoma Barrenwort, Seible"
ちょまみゃ,"天宮こころ, ルンルン"
ちょまりこ,"司賀りこ, ルンルン"
ちょろひげ海賊団,"舞元啓介, ベルモンド・バンデラス, レヴィ・エリファ, 天宮こころ"
ちりつも,"魔界ノりりむ, 久遠千歳"
Chill＋L'aile,"える, 竜胆尊, アルス・アルマル, ラトナ・プティ"
珍走団,"佐伯イッテツ, 赤城ウェン, 宇佐美リト"
月赤り,"赤羽葉子, 桜凛月"
月語ル,"山神カルタ, 弦月藤士郎"
月語ル庭,"山神カルタ, 弦月藤士郎, セラフ・ダズルガーデン"
月組,"鷹宮リオン, 黛灰, イブラヒム"
月組,"四季凪アキラ, セラフ・ダズルガーデン, 魁星, 榊ネス"
月チーム,"笹木咲, 本間ひまわり, 社築, 三枝明那, 夜見れな, 魔使マオ, 渡会雲雀, 榊ネス"
月ノ国,"椎名唯華, でびでび・でびる, 葉加瀬冬雪, 倉持めると"
月花ノ焔魔,"魔界ノりりむ, ドーラ, 健屋花那, 弦月藤士郎"
角組,"闇夜乃モルル, ドーラ, 海夜叉神"
つのつのきたきた,"ドーラ, レヴィ・エリファ, 北小路ヒスイ, 北見遊征"
つゆだく.inc,"ドーラ, 愛園愛美, レイン・パターソン, リュ・ハリ"
つよつよガルズ,"戌亥とこ, 倉持めると, 綺沙良, 早乙女ベリー"
TSN,"夕陽リリ, 叶, ローレン・イロアス"
D.D.D,"ドーラ, 鈴木勝, ベルモンド・バンデラス"
D.D.Dogs,"春崎エアル, 成瀬鳴"
Dの石,"桜凛月, ベルモンド・バンデラス"
ティーム・ぎうどん,"葛葉, 春崎エアル, エクス・アルビオ, 獅子堂あかり"
酒と紅茶,"でびでび・でびる, エリー・コニファー"
帝華組,"飛鳥ひな, 鷹宮リオン"
Dytica,"星導ショウ, 叢雲カゲツ, 小柳ロウ, 伊波ライ"
Denauth,"Ryoma Barrenwort, Klara Charmwood"
で灰ンゴ那,"でびでび・でびる, 黛灰, 健屋花那, 周央サンゴ"
てかサーの姫/手笠姉妹,"海妹四葉, 七瀬すず菜"
デカ文字組,"七瀬すず菜, 早乙女ベリー, 渚トラウト"
適当スペシャルズ,"笹木咲, フレン・E・ルスタリオ, 長尾景, 東堂コハク"
でこぼこ研究所,"桜凛月, レオス・ヴィンセント"
Desert Eagle,"三枝明那, 加賀美ハヤト, イブラヒム"
ですわバッテリー(まめねこ部),"樋口楓, レオス・ヴィンセント, 壱百満天原サロメ"
Dead on Drop,"Bonnivier Pranaja, Vantacrow Bringer, Victoria Brightshield"
てっぺん,"本間ひまわり, 鷹宮リオン, 来栖夏芽, 長尾景"
でびガクっ！,"伏見ガク, でびでび・でびる"
でび様を囲む会,"文野環, 社築, でびでび・でびる"
でびとこ,"でびでび・でびる, 戌亥とこ"
でびひま,"本間ひまわり, でびでび・でびる"
でびリオン,"鷹宮リオン, でびでび・でびる"
でびるる,"でびでび・でびる, 鈴原るる"
でびるんるん,"でびでび・でびる, ルンルン"
でリリリ,"鷹宮リオン, 竜胆尊, でびでび・でびる, ジョー・力一"
でろーレン,"樋口楓, ローレン・イロアス"
でろさら,"樋口楓, 星川サラ"
でろたま,"樋口楓, 文野環"
でろちー,"勇気ちひろ, 樋口楓"
でろもい,"樋口楓, モイラ"
でろもいちー,"勇気ちひろ, 樋口楓, モイラ"
デロロギ,"樋口楓, ギルザレンIII世, 轟京子"
でろンボ,"樋口楓, 桜凛月"
電音部・帝音シブヤ,"シスター・クレア, 健屋花那, 星川サラ"
天界卓,"モイラ, 宇志海いちご, 家長むぎ, 鷹宮リオン, でびでび・でびる"
天下無双,"剣持刀也, 葛葉, 卯月コウ, イブラヒム"
転生してもオタクだった件,"西園チグサ, ヌン・ボラ"
伝説ーズ,"不破湊, イブラヒム"
でんばぁじゃん,"魔界ノりりむ, フレン・E・ルスタリオ, 弦月藤士郎"
テンミリオンマン,"夕陽リリ, 叶, 本間ひまわり, ローレン・イロアス, 風楽奏斗"
トイマニチーム,"鷹宮リオン, 矢車りね, 黛灰"
Twinkle,"月ノ美兎, 物述有栖, 本間ひまわり, シスター・クレア, 竜胆尊"
刀える,"える, 剣持刀也"
刀かざ,"剣持刀也, 森中花咲"
道着ーズ,"葛葉, 不破湊"
DOCEO,"Taka Radjiman, Hyona Elatiora"
頭部に自信アリ,"本間ひまわり, 遠北千南, ベルモンド・バンデラス, 奈羅花"
童話組,"物述有栖, 童田明治, 御伽原江良"
どあかどあま,"天宮こころ, 獅子堂あかり"
咎ノワール,"伏見ガク, 剣持刀也, 叶, 葛葉"
†咎人†,"伏見ガク, 剣持刀也"
ド葛本社,"本間ひまわり, 葛葉, ドーラ, 社築"
ド葛本社オルタ,"名伽尾アズマ, 花畑チャイカ, 緑仙, 鷹宮リオン, でびでび・でびる, ジョー・力一"
Dr.アクアクリニック,"イブラヒム, ソフィア・ヴァレンタイン, 倉持めると"
とこアン,"戌亥とこ, アンジュ・カトリーナ"
とこでびロア,"でびでび・でびる, 夢月ロア, 戌亥とこ"
ドッグらん,"黒井しば, 早瀬走"
.SINCE,"アルス・アルマル, 渡会雲雀, 叢雲カゲツ"
とととナナナ,"立伝都々, 珠乃井ナナ"
ドブJUMP,"鷹宮リオン, 郡道美玲, アクシア・クローネ"
トマトの隊,"魔界ノりりむ, 椎名唯華, 花畑チャイカ, 卯月コウ"
富・名声・力,"笹木咲, フミ, フレン・E・ルスタリオ, アクシア・クローネ"
トライト,"勇気ちひろ, 宇志海いちご, 伏見ガク"
ドラゴンの寵愛,"叶, 天宮こころ"
トラップ組,"ガオン, オ・ジユ"
ドラひま,"本間ひまわり, ドーラ"
とらべら,"立伝都々, ミラン・ケストレル, 早乙女ベリー, 渚トラウト"
トラベリんぐ,"早乙女ベリー, 渚トラウト"
囚われの俺達,"伏見ガク, 叶, 三枝明那, 甲斐田晴"
トリガー,"夕陽リリ, 伏見ガク, 剣持刀也"
▽▲TRiNITY▲▽,"鷹宮リオン, 葉加瀬冬雪, フレン・E・ルスタリオ"
鳥ノ国,"剣持刀也, 葛葉, 赤城ウェン, 星導ショウ"
TTT,"Claude Clawmark, Victoria Brightshield, Kunai Nakasato"
トリプルハイボール,"葉山舞鈴, 葉加瀬冬雪, 赤城ウェン"
とろっこ組,"小清水透, 鏑木ろこ"
とろろゆず,"轟京子, 八朔ゆず"
DROPS,"エクス・アルビオ, ローレン・イロアス, Shu Yamino"
Dropleta,"Uki Violeta, Doppio Dropscythe"
Twilime,"山神カルタ, 東堂コハク"
どんちゃんふぁいぶ,"鷹宮リオン, 舞元啓介, 竜胆尊, でびでび・でびる, ジョー・力一"
ナイス大家族,"笹木咲, 葛葉, 甲斐田晴, 東堂コハク"
夜王国,"不破湊, 白雪巴, グウェル・オス・ガール"
Night Star of Demon world,"魔界ノりりむ, 星川サラ"
長尾ーズ,"三枝明那, 黛灰, 不破湊, 長尾景"
ながおちぐ,"長尾景, 西園チグサ"
凪風,"風楽奏斗, 四季凪アキラ"
なぎらき,"四季凪アキラ, 鏑木ろこ"
謎いつメン,"社築, 黒井しば, アンジュ・カトリーナ, 周央サンゴ"
NZMN,"卯月コウ, 春崎エアル, 成瀬鳴, 夢追翔"
なちゅきゃみ,"ルイス・キャミー, 来栖夏芽"
なちゅらるさいこぱす,"える, 花畑チャイカ, 葉山舞鈴, ましろ爻"
なつそら,"来栖夏芽, 空星きらめ"
なでる,"樋口楓, でびでび・でびる, 夜見れな"
ナトナリ,"風楽奏斗, ヤン・ナリ"
ななかな,"叶, 三枝明那, 夜見れな"
ななきらおとめ,"七瀬すず菜, 早乙女ベリー, 雲母たまこ"
7C,"葛葉, 不破湊, イブラヒム, 小柳ロウ"
七次元生徒会,"樋口楓, 叶, 緑仙, 三枝明那, 周央サンゴ, レオス・ヴィンセント"
ナナたすなな,"珠乃井ナナ, 七瀬すず菜"
ナナもね,"珠乃井ナナ, 梢桃音"
ナナもねたますず,"珠乃井ナナ, 梢桃音, 七瀬すず菜, 雲母たまこ"
菜の花連合,"笹木咲, 葛葉, 北小路ヒスイ, アクシア・クローネ"
Neapolitan Ice Cream,"Ike Eveland, Kotoka Torahime"
名前のない組,"える, ドーラ, シスター・クレア, 花畑チャイカ"
なまえのないざうるす,"夕陽リリ, 本間ひまわり, エクス・アルビオ"
なまえはまだない,"勇気ちひろ, える"
なりゆき魔王,"成瀬鳴, 雪城眞尋, えま★おうがすと"
成崎笑一,"神田笑一, 春崎エアル, 成瀬鳴"
なるふし,"伏見ガク, 成瀬鳴"
なんもしてねぇ,"勇気ちひろ, ラトナ・プティ, イブラヒム"
にーと組,"小清水透, 獅子堂あかり"
にーよんぐみ,"北見遊征, 魁星, 榊ネス, 司賀りこ, 珠乃井ナナ, 綺沙良, 梢桃音, ルンルン, 七瀬すず菜, 早乙女ベリー, 雲母たまこ, 酒寄颯馬, 渚トラウト"
にきさんきゲーマーズ,"笹木咲, 闇夜乃モルル, 本間ひまわり, 魔界ノりりむ, 葛葉, 雪汝, 椎名唯華"
2期生出身,"鈴鹿詩子, 宇志海いちご, 家長むぎ, 夕陽リリ, 物述有栖, 文野環, 伏見ガク, ギルザレンIII世, 剣持刀也, 森中花咲"
にくせいかつ,"風楽奏斗, 渡会雲雀, ハ・ユン"
肉natioN,"ラトナ・プティ, イブラヒム, 獅子堂あかり, 五十嵐梨花, Shu Yamino"
NijiEU,"Nina Kosaka, Ike Eveland, Mysta Rias, Vox Akuma"
にじ色インク,"神田笑一, 瀬戸美夜子, 黛灰, 奈羅花"
にじいろきゃんD→☆,"夕陽リリ, 森中花咲, シスター・クレア, 花畑チャイカ, でびでび・でびる, 桜凛月, 遠北千南"
にじいろパルフェ,"える, 森中花咲, 本間ひまわり, シスター・クレア, 雪城眞尋, 天ヶ瀬むゆ, 海妹四葉"
にじヴァロ女子,"夕陽リリ, 森中花咲, 本間ひまわり, 魔界ノりりむ, 町田ちま, アルス・アルマル, 天宮こころ, ラトナ・プティ, 奈羅花, 西園チグサ"
にじヴィラン,"緋八マナ, 星導ショウ, 小柳ロウ"
Nijiuwu,"Finana Ryugu, Rosemi Lovelock, Petra Gurin, Uki Violeta"
にじうぉ～ず,"月ノ美兎, 樋口楓, アンジュ・カトリーナ, 壱百満天原サロメ"
NijiAU,"バン・ハダ, Luca Kaneshiro, Sonny Brisko, Maria Marionette, Ren Zotto"
にじ,"エリー・コニファー, 榊ネス, Klara Charmwood"
NIJICHAOS,"Millie Parfait, Vox Akuma, Mysta Rias, Fulgur Ovid"
NIJICANCELLED,"Enna Alouette, Fulgur Ovid, Vox Akuma"
にじくじ7(にじさんじのくじじゅうじ),"月ノ美兎, える, 樋口楓, 静凛, 家長むぎ, 物述有栖, 剣持刀也"
nijiKLAP,"Petra Gurin, Klara Charmwood"
にじくろ,"月ノ美兎, 笹木咲, 椎名唯華, 竜胆尊"
にじグラブル団,"叶, 夜見れな, ルンルン"
西弦緑渡,"緑仙, 弦月藤士郎, 西園チグサ, 渡会雲雀"
にじ高スプラ部,"椎名唯華, ベルモンド・バンデラス, 星川サラ, オ・ジユ"
にじざんぎ,"笹木咲, 壱百満天原サロメ, ソフィア・ヴァレンタイン, 伊波ライ"
にじさんじアオハル部,"剣持刀也, 森中花咲, 夢追翔, 戌亥とこ, 三枝明那, 星川サラ"
にじさんじアベンジャーズ祭り,"渋谷ハジメ, ドーラ, でびでび・でびる, ベルモンド・バンデラス, ニュイ・ソシエール, 早瀬走"
にじさんじAmonGUYS,"叶, 葛葉, 三枝明那, エクス・アルビオ, 加賀美ハヤト, 黛灰, 不破湊, イブラヒム, 甲斐田晴"
にじさんじ異世界組,"エクス・アルビオ, アルス・アルマル, フレン・E・ルスタリオ, イブラヒム"
にじさんじ異世界ファンタジー女子組,"リゼ・ヘルエスタ, ニュイ・ソシエール, アルス・アルマル, フレン・E・ルスタリオ"
にじさんじ映画同好会,"神田笑一, 成瀬鳴, ベルモンド・バンデラス, 小野町春香, レヴィ・エリファ, 健屋花那, 空星きらめ, 北小路ヒスイ, オリバー・エバンス, 佐伯イッテツ, ミラン・ケストレル"
にじさんじ映画部,"でびでび・でびる, ベルモンド・バンデラス, ニュイ・ソシエール, 早瀬走"
にじさんじエルフ集会,"える, 花畑チャイカ, グウェル・オス・ガール"
にじさんじえんじぇるず,"叶, アンジュ・カトリーナ"
にじさんじON砲,"小野町春香, 長尾景"
にじさんじOGズ,"卯月コウ, 舞元啓介, 三枝明那"
にじさんじ,"叶, 本間ひまわり, 葛葉, 神田笑一, 三枝明那, 黛灰, アルス・アルマル, 天宮こころ, ラトナ・プティ, 奈羅花, 甲斐田晴"
にじさんじオカルト研究部,"伏見ガク, ギルザレンIII世, 森中花咲, 赤羽葉子"
にじさんじ乙女ゲーム製作委員会,"緑仙, ニュイ・ソシエール, 葉加瀬冬雪, 奈羅花"
にじさんじ学園ダンス部,"シスター・クレア, 桜凛月, 雪城眞尋, 健屋花那, 空星きらめ"
にじさんじカゲプロ,"樋口楓, 緑仙, 町田ちま, 戌亥とこ, リゼ・ヘルエスタ, 三枝明那, 葉加瀬冬雪, 星川サラ, ましろ爻, 弦月藤士郎, 西園チグサ, レイン・パターソン, 渡会雲雀"
にじさんじ数取団,"剣持刀也, 花畑チャイカ, ベルモンド・バンデラス, 加賀美ハヤト, シェリン・バーガンディ"
にじさんじガチプラべ,"笹木咲, 椎名唯華, 桜凛月, エクス・アルビオ, ニュイ・ソシエール, アルス・アルマル, 不破湊, イブラヒム"
にじさんじGALS,"樋口楓, 笹木咲, 椎名唯華, 鷹宮リオン"
にじさんじギャングスター,"花畑チャイカ, 社築, 舞元啓介, ジョー・力一, ベルモンド・バンデラス"
にじさんじ狂犬ズ,"町田ちま, 黒井しば"
にじさんじ矩形波倶楽部,"闇夜乃モルル, 社築"
2434組,"渋谷ハジメ, 鈴谷アキ, 鈴鹿詩子, 家長むぎ, 森中花咲, ドーラ, 轟京子, シスター・クレア, 花畑チャイカ, 社築, 鈴木勝, 緑仙, 鷹宮リオン, 竜胆尊, でびでび・でびる, 桜凛月, ジョー・力一, 成瀬鳴, ベルモンド・バンデラス, 小野町春香, 三枝明那, 愛園愛美, 雪城眞尋, レヴィ・エリファ, ニュイ・ソシエール, 葉加瀬冬雪, 夜見れな, アルス・アルマル, 天宮こころ, エリー・コニファー, ラトナ・プティ, 早瀬走, 健屋花那, フミ, 星川サラ, 山神カルタ, えま★おうがすと, ルイス・キャミー, 魔使マオ, 白雪巴, グウェル・オス・ガール, 奈羅花, フレン・E・ルスタリオ, 弦月藤士郎, 空星きらめ, 周央サンゴ, 北小路ヒスイ, 西園チグサ, レイン・パターソン, 天ヶ瀬むゆ, 海妹四葉, 四季凪アキラ, セラフ・ダズルガーデン"
にじさんじケーブルズ,"叶, 鷹宮リオン, 夢追翔"
にじさんじ研究者組,"アンジュ・カトリーナ, 葉加瀬冬雪, 甲斐田晴, レオス・ヴィンセント"
にじさんじ降霊術,"月ノ美兎, 赤羽葉子, でびでび・でびる, ましろ爻"
にじさんじゴーミーズ,"エクス・アルビオ, イブラヒム"
にじさんじごはん部(仮),"伏見ガク, シスター・クレア, ジョー・力一"
にじさんじシージ日本代表,"える, 宇志海いちご, エクス・アルビオ, 魔使マオ"
にじさんじシャトーブリアン食べたい部,"舞元啓介, 桜凛月, アルス・アルマル"
にじさんじシャドバ部,"舞元啓介, 三枝明那, 葉山舞鈴"
にじさんじ商業高校,"剣持刀也, 舞元啓介, グウェル・オス・ガール"
にじさんじ吹奏楽部,"える, 樋口楓, 森中花咲, 鷹宮リオン, 葉加瀬冬雪, エリー・コニファー, 健屋花那, フレン・E・ルスタリオ"
にじさんじストリートファイター,"渋谷ハジメ, 叶, 笹木咲, 葛葉, 社築, 安土桃, 神田笑一, えま★おうがすと, イブラヒム"
にじさんじスベ狼,"花畑チャイカ, 社築, 舞元啓介, ジョー・力一, 夢追翔, 三枝明那"
にじさんじセクト,"樋口楓, 鈴谷アキ, 夕陽リリ, ギルザレンIII世, 剣持刀也, 森中花咲"
にじさんじソーラン節ファイターズ,"渋谷ハジメ, 花畑チャイカ, 舞元啓介, グウェル・オス・ガール, レオス・ヴィンセント"
にじさんじ探検隊,"勇気ちひろ, 宇志海いちご, シスター・クレア, 鈴木勝, ベルモンド・バンデラス"
にじさんじダンス部,"山神カルタ, 長尾景, 東堂コハク, レイン・パターソン, セラフ・ダズルガーデン, 倉持めると"
にじさんじチーム(AOV),"夕陽リリ, 本間ひまわり, レヴィ・エリファ, 天宮こころ, フミ"
にじさんじチャンピオンズ,"椎名唯華, 成瀬鳴, 三枝明那"
にじさんじTNT部,"桜凛月, ベルモンド・バンデラス, 北小路ヒスイ, レイン・パターソン, 先斗寧"
にじさんじテニス部,"ドーラ, 花畑チャイカ, 社築, 緑仙, 健屋花那, 星川サラ"
にじさんじ・鳥居え門・建築部,"星弥, ソ・ナギ, Noor"
にじさんじドリクラーズ,"名伽尾アズマ, 花畑チャイカ, 社築, 舞元啓介, 夢追翔"
NijiNuts,"Alban Knox, Luca Kaneshiro, Shu Yamino, Sonny Brisko"
にじさんじハーメルン,"花畑チャイカ, 鷹宮リオン, ベルモンド・バンデラス, 獅子堂あかり, 倉持めると"
にじさんじバスターズ,"剣持刀也, 笹木咲, 花畑チャイカ, アンジュ・カトリーナ, フレン・E・ルスタリオ, 周央サンゴ, 宇佐美リト, 榊ネス"
にじさんじバスタード,"叶, 葛葉, 卯月コウ"
にじさんじハラスメント,"竜胆尊, 緋八マナ"
にじさんじハンドベル部,"樋口楓, モイラ, 物述有栖, 文野環, シスター・クレア, フミ, 周央サンゴ"
にじさんじ美術部,"轟京子, 相羽ういは"
にじさんじ美食倶楽部,"社築, ジョー・力一, ルイス・キャミー"
にじさんじ美容部,"轟京子, シスター・クレア, 弦月藤士郎, 朝日南アカネ"
にじさんじ,"椎名唯華, レオス・ヴィンセント, 獅子堂あかり"
にじさんじブルーアイズ,"レヴィ・エリファ, 来栖夏芽, 空星きらめ, 朝日南アカネ"
にじさんじ Project Winter,"叶, 笹木咲, 葛葉, 椎名唯華, アンジュ・カトリーナ, リゼ・ヘルエスタ, 天開司, ふぇありす"
にじさんじ放課後ゲーム部,"伏見ガク, 長尾景"
にじさんじポカチェ部,"叶, 葛葉, 椎名唯華, ドーラ, 花畑チャイカ, 社築, 竜胆尊, でびでび・でびる, エクス・アルビオ, 加賀美ハヤト, 不破湊, イブラヒム, アクシア・クローネ, ローレン・イロアス, レオス・ヴィンセント, オリバー・エバンス, レイン・パターソン"
にじさんじボクシング部,"える, 樋口楓, 郡道美玲, アンジュ・カトリーナ, 愛園愛美, 雪城眞尋, 健屋花那, 長尾景, 西園チグサ"
にじさんじポケカ部,"花畑チャイカ, 舞元啓介, 葉加瀬冬雪, 加賀美ハヤト, 長尾景, 倉持めると, 赤城ウェン, 栞葉るり, 榊ネス"
にじさんじポケユナじょし部,"本間ひまわり, 鷹宮リオン, 童田明治, 夜見れな, 天宮こころ"
にじさんじ保護者会,"夢追翔, 葉加瀬冬雪, 加賀美ハヤト, 星川サラ"
にじさんじポン酢,"出雲霞, ニュイ・ソシエール, 葉加瀬冬雪, 夜見れな"
にじさんじ魔女集会,"勇気ちひろ, 鷹宮リオン, ニュイ・ソシエール, アルス・アルマル"
にじさんじマスコッツ,"ゴンザレス(町田ちま), ジョニー・ノースリーバー(夢追翔), うさちゃん先生(郡道美玲), セバスチャン・ピヨードル(リゼ・ヘルエスタ)"
にじさんじモンハン部,"本間ひまわり, ドーラ, 郡道美玲, 愛園愛美"
にじさんじ陽キャズ,"轟京子, エクス・アルビオ, 早瀬走, 不破湊"
にじさんじ夜渡りクラブ,"叶, 葛葉, 葉山舞鈴"
にじさんじラジオ体操部,"月ノ美兎, 勇気ちひろ, える, 樋口楓, 渋谷ハジメ, 伏見ガク, ギルザレンIII世, 剣持刀也, 叶, 笹木咲, 椎名唯華, ドーラ, 轟京子, シスター・クレア, 花畑チャイカ, 社築, 鈴木勝, 緑仙, 鷹宮リオン, 舞元啓介, でびでび・でびる, 桜凛月, 町田ちま, ジョー・力一, ベルモンド・バンデラス, 矢車りね, 黒井しば, 童田明治, 小野町春香, 戌亥とこ, 三枝明那, 雪城眞尋, レヴィ・エリファ, 葉加瀬冬雪, 加賀美ハヤト, 夜見れな, 黛灰, アルス・アルマル, 相羽ういは, 天宮こころ, エリー・コニファー, ラトナ・プティ, 早瀬走, 健屋花那, フミ, 星川サラ, えま★おうがすと, ルイス・キャミー, 不破湊, 白雪巴, グウェル・オス・ガール, ましろ爻, 奈羅花, 来栖夏芽, フレン・E・ルスタリオ, メリッサ・キンレンカ, イブラヒム, 長尾景, 弦月藤士郎, 甲斐田晴, 北小路ヒスイ, 西園チグサ, アクシア・クローネ, ローレン・イロアス, レオス・ヴィンセント, オリバー・エバンス, レイン・パターソン, 海妹四葉, 壱百満天原サロメ, 風楽奏斗, 渡会雲雀, 四季凪アキラ, セラフ・ダズルガーデン, Taka Radjiman, ZEA Cornelia, Riksa Dhirendra, Nara Haramaung, Layla Alstroemeria, Bonnivier Pranaja, Derem Kado, Xia Ekavira, Mika Melatika, ソ・ナギ, ヤン・ナリ, オ・ジユ, セフィナ, ハ・ユン, ナ・セラ, 小清水透, 獅子堂あかり, 鏑木ろこ, 五十嵐梨花, 石神のぞみ, ソフィア・ヴァレンタイン, 倉持めると, 佐伯イッテツ, 赤城ウェン, 宇佐美リト, 緋八マナ, 星導ショウ, 叢雲カゲツ, 小柳ロウ, 伊波ライ, Elira Pendora, Pomu Rainpuff, Petra Gurin, Enna Alouette, Reimu Endou, Millie Parfait, Luca Kaneshiro, Shu Yamino, Yugo Asuma, Sonny Brisko, Uki Violeta, Aia Amare"
にじさんじLOSERS,"名伽尾アズマ, 花畑チャイカ"
にじさんじレインボーダンディーズ,"社築, 舞元啓介, ベルモンド・バンデラス, 夢追翔"
にじさんじレール部,"花畑チャイカ, 夢追翔, エクス・アルビオ, 加賀美ハヤト"
にじさんじレジスタンス(4人),"笹木咲, 椎名唯華, 花畑チャイカ, 緑仙"
にじさんじレジスタンス,"物述有栖, 笹木咲, 椎名唯華, 花畑チャイカ, 安土桃, 緑仙"
にじさんじレトロゲーム部,"壱百満天原サロメ, 石神のぞみ"
にじさんじ恋愛相談室,"緑仙, 鷹宮リオン, 葉加瀬冬雪, 星川サラ"
にじさんじロケット団,"文野環, フミ, 長尾景"
にじサントス市警(警察),"笹木咲, 魔界ノりりむ, 神田笑一, エクス・アルビオ, 西園チグサ, ローレン・イロアス, レイン・パターソン, ハ・ユン, 獅子堂あかり, 石神のぞみ, ソフィア・ヴァレンタイン, 倉持めると, 赤城ウェン, 緋八マナ, 小柳ロウ, 北見遊征, 榊ネス, Shu Yamino"
にじGTA救急隊,"樋口楓, 森中花咲, 叶, 桜凛月, 成瀬鳴, 小野町春香, 三枝明那, 健屋花那, グウェル・オス・ガール, 長尾景, 弦月藤士郎, 甲斐田晴, ミン・スゥーハ, オ・ジユ, セフィナ, 宇佐美リト, 魁星, Maria Marionette, Vezalius Bandage"
にじシティ都市開発部,"轟京子, 緑仙, 黒井しば, 健屋花那, 白雪巴, 弦月藤士郎"
NijiSEUP,"Shu Yamino, Elira Pendora, Uki Violeta, Petra Gurin"
NijiSchoolSupplies,"Petra Gurin, Shu Yamino, Sonny Brisko"
2時だとか,"不破湊, イブラヒム, ローレン・イロアス, 渡会雲雀"
西チーム,"える, 渋谷ハジメ, 叶, 鷹宮リオン, 雪城眞尋, 夜見れな, 魔使マオ, 長尾景, ローレン・イロアス, 四季凪アキラ, セラフ・ダズルガーデン, セフィナ, 赤城ウェン, 叢雲カゲツ, 魁星, 五木左京"
にじchak,"小野町春香, 空星きらめ, 朝日南アカネ, 西園チグサ"
にじ鉄,"ベルモンド・バンデラス, 三枝明那, 葉加瀬冬雪, 夜見れな"
NIJICANTDRIVE,"Reimu Endou, Shu Yamino, Alban Knox, Fulgur Ovid, Sonny Brisko, Yugo Asuma, Uki Violeta, Petra Gurin"
にじ任侠組,"リゼ・ヘルエスタ, ニュイ・ソシエール, 加賀美ハヤト, 早瀬走"
